Symbol
AAPL
MSFT
GOOGL
AMZN
NVDA
TSLA
META
BRK-B
UNH
XOM
JPM
JNJ
V
PG
HD
CVX
MA
ABBV
PFE
KO
AVGO
COST
PEP
TMO
WMT
MRK
DIS
ADBE
NFLX
CRM
BAC
ACN
LLY
ORCL
WFC
VZ
CMCSA
CSCO
ABT
DHR
NKE
TXN
PM
BMY
UNP
QCOM
RTX
HON
INTC
T
AMAT
SPGI
CAT
INTU
ISRG
NOW
LOW
GS
MS
AMD
AMGN
BKNG
TJX
BLK
AXP
SYK
VRTX
PLD
GILD
MDLZ
SBUX
TMUS
CVS
CI
LRCX
CB
MO
PYPL
MMC
SO
ZTS
SCHW
FIS
DUK
BSX
CL
ITW
EQIX
AON
CSX
ADI
NOC
MU
SHW
ICE
KLAC
APD
USB
CME
REGN
EMR
PNC
EOG
FCX
GD
NSC
TGT
HUM
COP
PSA
